academic_year,program_year,agency_name,prepared_for_practice,learning_goals_met,most_helpful,least_helpful,recommend,recommend_reason,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,supervision_frequency,supervision_quality,comments_supervisor,felt_prepared,other_comments
2017-2018,generalist,Partnership Health Center,strongly disagree,strongly disagree,what helped me most was that the day-to-day work around support groups and family support helped build my confidence.,the least helpful part was that i needed more client contact and fewer office tasks. it is hard to grow when the structure is that loose.,no,"no, i would not recommend it in its current form because i needed more direct practice and less busy work.",strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,my supervisor created a respectful space for supervision. meetings were consistent and questions were welcome.,strongly disagree,there needs to be more structure for students before i would call this a strong placement. clearer student expectations would help.
2017-2018,specialization,Ywca,strongly disagree,strongly disagree,"for me, the biggest help was that i had real exposure to safety planning and hotline support. it made the learning agreement feel less abstract.",the least helpful part was that i had too much admin work and not enough hands-on practice. it is hard to grow when the structure is that loose.,no,i cannot recommend this site right now because the role leaned too hard on admin work and observation.,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,"my afi cared about students, but meetings were more conversational than instructional. meetings were consistent and i had space to think through ethics and boundaries.",strongly disagree,this site could improve a lot by having a clearer student role and better onboarding. the onboarding process needs work.
2017-2018,specialization,Aaniiih Nakoda College,strongly disagree,somewhat disagree,"for me, the biggest help was that i was included in legislative tracking and coalition work instead of only observing.",what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because i needed more direct practice and less busy work.",somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,my supervisor did not create much structure for student learning. supervision got pushed back too often and expectations were not very clear. that made it harder to learn steadily.,strongly disagree,i do not think students should have to figure out this much out on their own
2017-2018,specialization,St. Patrick Hospital,strongly disagree,strongly disagree,"for me, the biggest help was that the day-to-day work around chart review and brief assessments helped build my confidence.",one frustration was that i had too much admin work and not enough hands-on practice.,no,i cannot recommend this site right now because there was not enough support or structure from supervision.,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,somewhat disagree,"honestly, my supervisor wanted everything done a certain way, which made it harder to build confidence. feedback was limited and often too vague.",strongly disagree,i do not think students should have to figure out this much out on their own
2018-2019,specialization,Frontier Behavioral Health,strongly disagree,strongly disagree,"for me, the biggest help was that i got to work on data tracking, program evaluation, and staff trainings and connect class content to practice.",the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,no,i would not recommend this placement because the practicum expected too much self-direction without enough support.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,somewhat disagree,my afi was polite but hard to reach. meetings were too infrequent for the amount of support i needed and the structure around supervision was not strong.,strongly disagree,i do not think students should have to figure out this much out on their own
2019-2020,bsw,Vocational Rehab,somewhat disagree,somewhat disagree,"learning how to navigate referrals, safety planning, and follow-up was very useful, but there was still a lot that felt unstructured",some communication gaps made the experience harder than it needed to be,no,"no, the placement did not feel organized enough to support student learning well",somewhat disagree,strongly disagree,strongly disagree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,neither agree nor disagree,"feedback was helpful, though expectations shifted at times",strongly disagree,
2019-2020,bsw,Friends Forever Mentoring,strongly disagree,strongly disagree,the most helpful part was that the clients and day-to-day tasks around documentation and advocacy taught me more than the structure did. it made the learning agreement feel less abstract.,least helpful for me was that i was often shadowing when i needed more chances to try skills myself. i spent too much time guessing what i should be doing.,yes,"i would recommend it with some caution because the site helped me build practice skills that felt transferable, even though i would have liked a little more structure in the student role.",strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,"my supervisor cared about students, but meetings were more conversational than instructional. meetings were consistent and questions were welcome. i appreciated the warmth, but i still needed clearer direction.",strongly disagree,i do not think students should have to figure out this much out on their own
2019-2020,generalist,Montana Innocence Project,strongly disagree,strongly disagree,what helped me most was that i was included in hotline support and safety planning instead of only observing.,one frustration was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,somewhat agree,neither agree nor disagree,"my field instructor cared about students, but meetings were more conversational than instructional. expectations were not very clear.",strongly disagree,i left feeling more cautious than prepared
2019-2020,specialization,Rimrock Foundation,strongly disagree,strongly disagree,i appreciated that i was included in community events and advocacy instead of only observing.,one frustration was that i was often shadowing when i needed more chances to try skills myself.,no,"honestly, no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well.",strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,my supervisor met with me too infrequently to really guide the practicum. meetings were too infrequent for the amount of support i needed and support was weaker than it should have been.,strongly disagree,i left feeling more cautious than prepared
2019-2020,specialization,Poverello Center Inc,strongly disagree,somewhat disagree,i appreciated that the clients and day-to-day tasks around resource referrals and crisis support taught me more than the structure did.,"honestly, least helpful for me was that i wanted more direct practice instead of mostly observation.",no,i cannot recommend this site right now because training was thin and the student role felt underplanned.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,my supervisor was often unavailable when i needed clarification. i needed more regular meetings than i received and support was weaker than it should have been. it affected my confidence more than it should have.,strongly disagree,there needs to be more structure for students before i would call this a strong placement. i appreciated the staff who answered questions when they could.
2019-2020,specialization,Ramsey Magnet School Of Science,strongly disagree,strongly disagree,"i appreciated that the day-to-day work around aps coordination, psychosocial assessments, and documentation helped build my confidence",least helpful for me was that i needed more client contact and fewer office tasks.,no,i would not recommend this placement because supervision was too inconsistent to support student learning well.,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,neither agree nor disagree,"my supervisor made the environment comfortable, but expectations were still a little fuzzy",strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2019-2020,specialization,Montana State Hospital,strongly disagree,strongly disagree,"i appreciated that the day-to-day work around case management, outreach, and resource navigation helped build my confidence.",least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,no,i would not recommend this placement because i needed more direct practice and less busy work.,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat agree,"my afi was supportive in some moments, though check-ins were often delayed.",strongly disagree,i do not think students should have to figure out this much out on their own
2020-2021,specialization,Empowermt,somewhat disagree,somewhat disagree,supervision was inconsistent and that affected my learning. there was not enough client contact to build skills. i wanted more feedback around direct practice skills,not enough hands-on work. difficulty getting feedback when i needed it. scheduling could be difficult at times,no,i would not recommend it for a student who needs consistent support,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,i needed clearer feedback and more regular meetings,strongly disagree,i left feeling less prepared than i hoped
2020-2021,specialization,Southwest Montana Community Health Center,strongly disagree,somewhat agree,"the most helpful part was seeing how outreach and coordination actually happen in the community, which was one of the few parts that felt clear",i needed more supervision and clearer expectations,no,i would not recommend this placement because the supervision and structure were too inconsistent,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly agree,strongly disagree,somewhat disagree,strongly disagree,i did not feel like i had enough feedback or structure from my supervisor,strongly disagree,i appreciated the staff even when the structure was mixed
2020-2021,specialization,Intermountain,somewhat disagree,strongly disagree,"the most helpful part was that even with the issues at the site, i still learned from housing assessments and case management.",one frustration was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because training was thin and the student role felt underplanned.",strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my field instructor did try to help, but expectations changed and meetings were not steady. feedback was limited and often too vague.",strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2021-2022,bsw,Western Montana's Lgbtq+ Community Center,strongly disagree,strongly disagree,the most helpful part was that i had real exposure to outreach and housing search support.,least helpful for me was that i needed more client contact and fewer office tasks.,no,i would not recommend this placement because the placement lacked structure in ways that affected learning.,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,neither agree nor disagree,"my supervisor wanted everything done a certain way, which made it harder to build confidence. feedback was limited and often too vague. i got frequent feedback, but not much room to develop my own style.",strongly disagree,there was too much admin work and not enough direct practice for a practicum.
2021-2022,bsw,Women's Resource Center,strongly disagree,strongly disagree,the most helpful part was that i had real exposure to youth check-ins and group activities. it made the learning agreement feel less abstract.,the least helpful part was that i was often shadowing when i needed more chances to try skills myself. it made the practicum feel more reactive than educational.,no,"no, i would not recommend it in its current form because the placement lacked structure in ways that affected learning.",strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,my afi was polite but hard to reach. feedback was limited and often too vague.,strongly disagree,the field liaison ended up being more helpful than the site when problems came up
2021-2022,bsw,Crisis Text Line,strongly disagree,strongly disagree,the most helpful part was that the clients and day-to-day tasks around crisis calls and group facilitation taught me more than the structure did. i could actually see how classroom material shows up in practicum.,one frustration was that i wanted more direct practice instead of mostly observation.,no,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well.",strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my supervisor did not invite many questions, so i held back more than i should have. feedback was limited and often too vague. the practicum would have been stronger with steadier supervision.",strongly disagree,this site could improve a lot by having a clearer student role and better onboarding. i appreciated the staff who answered questions when they could.
2021-2022,bsw,Child And Family Service Department,strongly disagree,strongly disagree,the most helpful part was that the clients and day-to-day tasks around safety planning and shift handoff taught me more than the structure did.,least helpful for me was that i was often shadowing when i needed more chances to try skills myself. i spent too much time guessing what i should be doing.,no,"no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support.",strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,somewhat disagree,"my supervisor wanted everything done a certain way, which made it harder to build confidence. expectations were not very clear.",strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2021-2022,bsw,Student Advocacy Resource Center,strongly disagree,strongly disagree,the most helpful part was that the day-to-day work around psychosocial assessments and home visits helped build my confidence.,the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,no,i would not recommend this placement because there was not enough support or structure from supervision.,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,"my supervisor was supportive in some moments, though check-ins were often delayed. feedback was limited and often too vague.",strongly disagree,i left feeling more cautious than prepared
2021-2022,bsw,Ramsey Magnet School Of Science,strongly disagree,strongly disagree,the most helpful part was that the day-to-day work around student check-ins and iep/504 meetings helped build my confidence.,the least helpful part was that i wanted more direct practice instead of mostly observation. it made the practicum feel more reactive than educational.,no,"honestly, i would not recommend this placement because feedback and expectations were not clear enough.",strongly disagree,strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,neither agree nor disagree,"honestly, my supervisor was supportive in some moments, though check-ins were often delayed. it was hard to schedule supervision consistently and i did not get enough guidance to feel grounded.",strongly disagree,regular check-ins would have changed this experience a lot.
2021-2022,bsw,Bridgercare,strongly disagree,strongly disagree,what helped me most was that i got to work on documentation and home visits and connect class content to practice.,one frustration was that i wanted more direct practice instead of mostly observation.,no,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,my supervisor did not create much structure for student learning. i needed more regular meetings than i received and the structure around supervision was not strong.,strongly disagree,regular check-ins would have changed this experience a lot.
2021-2022,bsw,Student Advocacy Resource Center,strongly disagree,strongly disagree,what helped me most was that i got to work on resource navigation and case management and connect class content to practice.,the least helpful part was that i needed more client contact and fewer office tasks.,no,i would not recommend this placement because i do not think the site is set up well for students right now.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,somewhat disagree,"my supervisor was supportive in some moments, though check-ins were often delayed. support was weaker than it should have been.",strongly disagree,i do not think students should have to figure out this much out on their own
2021-2022,bsw,Lynn Rice Therapy,strongly disagree,strongly disagree,"what helped me most was that i had real exposure to intakes, advocacy, and safety planning.",the least helpful part was that i had too much admin work and not enough hands-on practice. i spent too much time guessing what i should be doing.,no,i would not recommend this placement because supervision was too inconsistent to support student learning well.,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,my field instructor was hard to reach and supervision felt minimal. supervision got pushed back too often and support was weaker than it should have been.,strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2021-2022,bsw,Department Of Health And Human Services,strongly disagree,strongly disagree,i appreciated that i could learn group facilitation and relapse prevention work and then debrief after.,the least helpful part was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well.",strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,"my field instructor met often, but it felt more controlling than developmental. feedback was limited and often too vague. it affected my confidence more than it should have.",strongly disagree,there was too much admin work and not enough direct practice for a practicum.
2021-2022,bsw,988 Tribal Response,strongly disagree,strongly disagree,what helped me most was that i got to work on documentation and resource referrals and connect class content to practice.,"honestly, what was hardest for me was that i needed more client contact and fewer office tasks.",no,i would not recommend this placement because i needed more direct practice and less busy work.,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,my afi did not provide enough feedback for me to know how i was doing. meetings were too infrequent for the amount of support i needed and expectations were not very clear. the practicum would have been stronger with steadier supervision.,strongly disagree,i left feeling more cautious than prepared
2021-2022,specialization,Rimrock Foundation,strongly disagree,somewhat disagree,"honestly, i appreciated that even with the issues at the site, i still learned from advocacy and warm handoffs.",least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,no,i cannot recommend this site right now because the practicum expected too much self-direction without enough support.,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,"my afi was helpful when available, but meetings got moved around a lot. expectations were not very clear.",strongly disagree,the field liaison ended up being more helpful than the site when problems came up
2021-2022,specialization,Child And Family Service Department,strongly disagree,strongly disagree,"honestly, what helped me most was that i had real exposure to school meetings, crisis response at school, and attendance support.",what was hardest for me was that i needed more client contact and fewer office tasks.,no,"honestly, i would not recommend this placement because the role leaned too hard on admin work and observation.",somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,"my field instructor did not invite many questions, so i held back more than i should have. the structure around supervision was not strong.",strongly disagree,"i learned some things, but the practicum did not feel well designed for students"
2021-2022,specialization,Fairfax Behavioral Health,somewhat disagree,somewhat disagree,i appreciated that i had real exposure to support groups and resource referrals. it gave me a better sense of advocacy.,the least helpful part was that i wanted more direct practice instead of mostly observation.,no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my afi gave decent feedback, but supervision was inconsistent. support was weaker than it should have been. the practicum would have been stronger with steadier supervision.",strongly disagree,"i learned some things, but the practicum did not feel well designed for students"
2022-2023,bsw,Benefis Health System,somewhat disagree,neither agree nor disagree,i needed more support and clearer expectations. meetings were often canceled or rushed. i wanted more defined tasks and clearer learning goals,too much admin work and not enough client contact. difficulty getting feedback when i needed it. the first few weeks felt unstructured,no,i would not recommend it because the learning opportunities were too limited,somewhat disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat disagree,strongly disagree,neither agree nor disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,my afi took time to explain decisions and process difficult situations,strongly disagree,the placement needs better structure for students
2022-2023,bsw,Many Rivers Whole Health,strongly disagree,neither agree nor disagree,the best part was exposure to systems work and working with staff who were willing to answer questions,shadowing more than doing,yes,i would recommend this placement with some caution because the learning was good but the structure could be stronger,somewhat disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly disagree,somewhat agree,strongly agree,strongly disagree,somewhat agree,strongly agree,"supervision had both strengths and gaps. my afi helped connect class concepts to practice, but expectations were not always clear",strongly disagree,
2022-2023,generalist,Missoula Police Department,strongly agree,neither agree nor disagree,supervision was inconsistent and that affected my learning. i mostly shadowed or did admin tasks. i wanted more feedback around direct practice skills,limited opportunities to apply skills directly. difficulty getting feedback when i needed it. scheduling could be difficult at times,no,i would not recommend it for a student who needs consistent support,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly agree,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,"feedback was helpful, but i needed more frequent check-ins",strongly disagree,
2022-2023,generalist,Missoula Interfaith Collaborative,strongly disagree,neither agree nor disagree,there were some staff who were helpful when available,not enough feedback on documentation,no,i would not recommend it in its current form because the role expectations and feedback were too limited,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,supervision was a concern. feedback was limited and i often needed more guidance than i received,strongly disagree,i do not think the current structure supports student learning very well
2022-2023,specialization,Catalyst Mt,strongly disagree,strongly disagree,"honestly, the most helpful part was that the clients and day-to-day tasks around recovery planning, case management, and motivational interviewing taught me more than the structure did. it gave me a better sense of group work.",one frustration was that i was often shadowing when i needed more chances to try skills myself. it is hard to grow when the structure is that loose.,no,i cannot recommend this site right now because there was not enough support or structure from supervision.,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,"honestly, my field instructor was hard to reach and supervision felt minimal. i needed more regular meetings than i received and feedback was limited and often too vague. i often needed more direction than i got.",strongly disagree,i do not think students should have to figure out this much out on their own. i appreciated the staff who answered questions when they could.
2022-2023,specialization,Greater Valley Health Center,strongly disagree,strongly disagree,"i appreciated that even with the issues at the site, i still learned from community planning, staff trainings, and workflow mapping",one frustration was that i was often shadowing when i needed more chances to try skills myself,no,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,somewhat agree,my supervisor helped me grow without hovering over every step,strongly disagree,there was too much admin work and not enough direct practice for a practicum. clearer student expectations would help.
2022-2023,specialization,Child And Family Service Department,strongly disagree,strongly disagree,i appreciated that i got to work on care coordination and chart review and connect class content to practice. it made the learning agreement feel less abstract.,the least helpful part was that i wanted more direct practice instead of mostly observation. it is hard to grow when the structure is that loose.,no,i would not recommend this placement because the role leaned too hard on admin work and observation.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,"my supervisor was warm and encouraging, though feedback was sometimes too general. supervision stayed on the calendar even during busy weeks and supervision felt developmental instead of performative.",strongly disagree,there was too much admin work and not enough direct practice for a practicum.
2022-2023,specialization,Nasw Montana,strongly disagree,strongly disagree,"i appreciated that i had real exposure to resource referrals, intakes, and support groups. i could actually see how classroom material shows up in practicum.",the least helpful part was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,somewhat disagree,my afi kept things professional but did not feel approachable. supervision got pushed back too often and i did not get enough guidance to feel grounded. the practicum would have been stronger with steadier supervision.,strongly disagree,i left feeling more cautious than prepared
2023-2024,bsw,Missoula Interfaith Collaborative,strongly disagree,strongly disagree,"for me, the biggest help was that i was included in iep/504 meetings, school meetings, and brief solution-focused sessions instead of only observing.",what was hardest for me was that i had too much admin work and not enough hands-on practice.,no,"no, i would not recommend it in its current form because i needed more direct practice and less busy work.",strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,"my supervisor was supportive in some moments, though check-ins were often delayed. the structure around supervision was not strong. i often needed more direction than i got.",strongly disagree,there was too much admin work and not enough direct practice for a practicum.
2023-2024,bsw,Seneca Family Of Agencies Mosaic Program,strongly disagree,strongly disagree,"for me, the biggest help was that the day-to-day work around documentation and peer coordination helped build my confidence.",least helpful for me was that i had too much admin work and not enough hands-on practice.,no,i cannot recommend this site right now because the role leaned too hard on admin work and observation.,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,neither agree nor disagree,"my supervisor cared about students, but meetings were more conversational than instructional. support was weaker than it should have been. the practicum would have been stronger with steadier supervision. i appreciated the warmth, but i still needed clearer direction.",strongly disagree,i was more prepared by my own effort than by the site structure.
2023-2024,bsw,Youth Homes,strongly disagree,strongly disagree,"for me, the biggest help was that the day-to-day work around policy research and committee meetings helped build my confidence",one frustration was that a lot of my time went to paperwork instead of actual practice,no,i cannot recommend this site right now because i needed more direct practice and less busy work,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,my afi was hard to reach and supervision felt minimal. check-ins did not happen often enough and support was weaker than it should have been. i often needed more direction than i got.,strongly disagree,there was too much admin work and not enough direct practice for a practicum
2023-2024,bsw,Franklin Pierce School District,strongly disagree,strongly disagree,"honestly, the most helpful part was that the clients and day-to-day tasks around life skills coaching and family outreach taught me more than the structure did.","honestly, the least helpful part was that a lot of my time went to paperwork instead of actual practice. that slowed down my learning.",no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree,strongly disagree,"my field instructor wanted everything done a certain way, which made it harder to build confidence. i did not get enough guidance to feel grounded.",strongly disagree,i left feeling more cautious than prepared
2023-2024,bsw,Montana Innocence Project,strongly disagree,somewhat disagree,i still learned some basics about committee meetings,onboarding took too long,no,i would not recommend this site because there was not enough direct practice or clear supervision,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly disagree,supervision was a concern. feedback was limited and i often needed more guidance than i received,strongly disagree,i do not think the current structure supports student learning very well
2023-2024,bsw,Blaine County School District,strongly disagree,strongly disagree,i still learned some basics about debriefing,i spent too much time observing and not enough time practicing,no,i would not recommend it in its current form because the role expectations and feedback were too limited,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,strongly disagree,strongly agree,somewhat disagree,supervision was a concern. scheduling check-ins was difficult and i often needed more guidance than i received,strongly disagree,
2023-2024,bsw,Montana 10,strongly disagree,strongly disagree,"for me, the biggest help was that i was included in community meetings, youth engagement, and resource coordination instead of only observing.",one frustration was that i needed more client contact and fewer office tasks.,no,i would not recommend this placement because the role leaned too hard on admin work and observation.,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,somewhat disagree,"my afi was supportive in some moments, though check-ins were often delayed. the structure around supervision was not strong.",strongly disagree,i do not think students should have to figure out this much out on their own
2023-2024,generalist,Crosswinds Recovery,strongly disagree,somewhat disagree,"i appreciated that even with the issues at the site, i still learned from release coordination and resource navigation.",one frustration was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because training was thin and the student role felt underplanned.",somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly agree,somewhat disagree,my afi checked details closely but did not always explain the why. i did not get enough guidance to feel grounded.,strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2023-2024,generalist,Paxson Elementary School,strongly disagree,strongly disagree,"the most helpful part was that i could learn program planning, community outreach, and resource education and then debrief after.",what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my supervisor gave decent feedback, but supervision was inconsistent. the structure around supervision was not strong.",strongly disagree,i left feeling more cautious than prepared
2023-2024,generalist,Empowermt,strongly disagree,strongly disagree,the most helpful part was that the day-to-day work around staff trainings and workflow mapping helped build my confidence.,one frustration was that i had too much admin work and not enough hands-on practice.,no,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,my afi created a respectful space for supervision. supervision stayed on the calendar even during busy weeks and supervision helped me connect class content to practice.,strongly disagree,this site could improve a lot by having a clearer student role and better onboarding
2023-2024,generalist,Missoula City County Health Department,strongly disagree,strongly disagree,what helped me most was that i had real exposure to resource navigation and community referrals.,one frustration was that a lot of my time went to paperwork instead of actual practice. it is hard to grow when the structure is that loose.,no,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation.",strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,my afi did not create much structure for student learning. it was hard to schedule supervision consistently and the structure around supervision was not strong.,strongly disagree,i left feeling more cautious than prepared
