academic_year,agency_name,agency_name_display,comments_supervisor,least_helpful,most_helpful,other_comments,recommend_reason
2015-2016,cedar creek integrated health,Cedar Creek Integrated Health,"i got support, but the structure around supervision could have been stronger",the structure was uneven early on,"i got strong exposure to direct practice and learned how to build rapport with clients, which was one of the few parts that felt clear",i would have liked a little more direct feedback,"no, the placement did not feel organized enough to support student learning well"
2015-2016,women's resource center,Women's Resource Center,i needed clearer feedback and more regular meetings,limited opportunities to apply skills directly. inconsistent supervision,i needed more support and clearer expectations. i mostly shadowed or did admin tasks. i wanted more feedback around direct practice skills,i left feeling less prepared than i hoped,i would not recommend it because the learning opportunities were too limited
2016-2017,aspen counseling services,Aspen Counseling Services,"my supervisor was supportive when available, but scheduling was inconsistent",limited opportunities to apply skills directly,i needed more support and clearer expectations. the learning agreement was not used much in practice. i wanted more defined tasks and clearer learning goals,more support and clearer expectations would improve the experience,i would not recommend it for a student who needs consistent support
2016-2017,billings public schools,Billings Public Schools,i needed clearer feedback and more regular meetings,inconsistent supervision,some parts of the placement were helpful and some were not. some weeks were very strong and other weeks felt disorganized. i learned the most when supervision actually happened on schedule,"i learned a lot, but there are areas that could be stronger","i could recommend it, but it depends on who is supervising and what role is available"
2017-2018,youth homes,Youth Homes,"my afi did try to help, but expectations changed and meetings were not steady. i did not get enough guidance to feel grounded.",one frustration was that a lot of my time went to paperwork instead of actual practice. that slowed down my learning.,i appreciated that the day-to-day work around relapse prevention work and recovery planning helped build my confidence.,i was more prepared by my own effort than by the site structure.,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.
2017-2018,child and family service department,Child And Family Service Department,"my afi cared about students, but meetings were more conversational than instructional. i could count on regular supervision and the feedback was direct and useful. i appreciated the warmth, but i still needed clearer direction.",one frustration was that i had too much admin work and not enough hands-on practice. that slowed down my learning.,"the most helpful part was that even with the issues at the site, i still learned from resource referrals and discharge planning.",there was too much admin work and not enough direct practice for a practicum.,"i would still recommend it for the right student because the site helped me build practice skills that felt transferable, but i would have liked a little more structure in the student role."
2017-2018,youth homes,Youth Homes,"feedback was helpful, though expectations shifted at times",i wanted more clarity around my role and learning goals,"i appreciated learning how case coordination and partnerships work in real settings, which was one of the few parts that felt clear",it would help to clarify expectations sooner,"no, because the role did not provide enough support or enough meaningful practicum learning"
2017-2018,trio student support services,Trio Student Support Services,"my field instructor did try to help, but expectations changed and meetings were not steady",least helpful for me was that a lot of my time went to paperwork instead of actual practice.,what helped me most was that i had real exposure to documentation and crisis support,i do not think students should have to figure out this much out on their own,"no, i would not recommend it in its current form because feedback and expectations were not clear enough"
2017-2018,youth crisis center inc,Youth Crisis Center Inc.,my supervisor gave limited feedback and the dynamic felt stiff. feedback was limited and often too vague.,one frustration was that a lot of my time went to paperwork instead of actual practice.,"for me, the biggest help was that the day-to-day work around aps coordination, documentation, and caregiver support helped build my confidence.",there needs to be more structure for students before i would call this a strong placement,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation."
2019-2020,big sky palliative & hospice,Big Sky Palliative & Hospice,"my field instructor did try to help, but expectations changed and meetings were not steady. support was weaker than it should have been.",least helpful for me was that i had too much admin work and not enough hands-on practice. it is hard to grow when the structure is that loose.,"for me, the biggest help was that the clients and day-to-day tasks around documentation and resource referrals taught me more than the structure did.",this site could improve a lot by having a clearer student role and better onboarding,"i would still recommend it for the right student because i had meaningful opportunities with psychosocial assessments and support groups, but it would still help to have clearer expectations at the start."
2019-2020,partners in home care,Partners In Home Care,"there were good intentions, but supervision felt rushed at times and that affected my learning",shadowing more than doing,i still learned some basics about crisis work,i do not think the current structure supports student learning very well,"i would recommend it for someone comfortable with flexibility, though the experience was mixed at times"
2019-2020,abbie shelter,Abbie Shelter,expectations were not always clear and follow-up was minimal,mostly shadowing with limited direct practice. inconsistent supervision. scheduling could be difficult at times,supervision was inconsistent and that affected my learning. the learning agreement was not used much in practice. i wanted more guidance to understand the bigger systems work,,i would not recommend it because the learning opportunities were too limited
2019-2020,soft landing missoula,Soft Landing Missoula,"my supervisor gave decent feedback, but supervision was inconsistent. feedback was limited and often too vague.",the least helpful part was that i had too much admin work and not enough hands-on practice.,what helped me most was that i could learn support groups and resource referrals and then debrief after.,i do not think students should have to figure out this much out on their own,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well."
2019-2020,big sky palliative & hospice,Big Sky Palliative & Hospice,my afi did not create much structure for student learning. check-ins did not happen often enough and the structure around supervision was not strong. i often needed more direction than i got.,the least helpful part was that a lot of my time went to paperwork instead of actual practice.,what helped me most was that the clients and day-to-day tasks around aps coordination and case management taught me more than the structure did.,there needs to be more structure for students before i would call this a strong placement,"honestly, i cannot recommend this site right now because the practicum expected too much self-direction without enough support."
2020-2021,ywca,Ywca,my field instructor met with me too infrequently to really guide the practicum. meetings were too infrequent for the amount of support i needed and feedback was limited and often too vague. the practicum would have been stronger with steadier supervision.,one frustration was that i had too much admin work and not enough hands-on practice.,the most helpful part was that i had real exposure to case management and risk assessments. it made the learning agreement feel less abstract.,regular check-ins would have changed this experience a lot.,i cannot recommend this site right now because i needed more direct practice and less busy work.
2021-2022,helena valley addiction services,Helena Valley Addiction Services,"my afi checked details closely but did not always explain the why. the structure around supervision was not strong. it affected my confidence more than it should have. i got frequent feedback, but not much room to develop my own style.",one frustration was that i needed more client contact and fewer office tasks.,the most helpful part was that the clients and day-to-day tasks around intakes and resource referrals taught me more than the structure did.,the field liaison ended up being more helpful than the site when problems came up,i cannot recommend this site right now because feedback and expectations were not clear enough.
2021-2022,missoula municipal court,Missoula Municipal Court,"my supervisor was supportive when available, but scheduling was inconsistent",not enough hands-on work. inconsistent supervision. there were slow periods with fewer tasks,the placement did not provide enough structure. i did not get enough feedback to know if i was improving. i wanted more guidance to understand the bigger systems work,more support and clearer expectations would improve the experience. i would have liked more grounding in how policy work connected to student competencies,i would not recommend it because the learning opportunities were too limited
2021-2022,missoula public library,Missoula Public Library,my afi was often unavailable when i needed clarification. supervision got pushed back too often and feedback was limited and often too vague.,one frustration was that i had too much admin work and not enough hands-on practice.,"what helped me most was that even with the issues at the site, i still learned from support groups, crisis support, and resource referrals.",this site could improve a lot by having a clearer student role and better onboarding,i cannot recommend this site right now because i needed more direct practice and less busy work.
2021-2022,montana state hospital,Montana State Hospital,"honestly, my field instructor wanted everything done a certain way, which made it harder to build confidence. support was weaker than it should have been. it affected my confidence more than it should have.",least helpful for me was that i needed more client contact and fewer office tasks.,"what helped me most was that even with the issues at the site, i still learned from support groups, resource referrals, and case management.","i learned some things, but the practicum did not feel well designed for students",i would not recommend this placement because the role leaned too hard on admin work and observation.
2021-2022,montana state hospital,Montana State Hospital,my field instructor was often unavailable when i needed clarification. supervision got pushed back too often and i did not get enough guidance to feel grounded.,the least helpful part was that i wanted more direct practice instead of mostly observation.,what helped me most was that i had real exposure to brief solution-focused sessions and iep/504 meetings.,"i learned some things, but the practicum did not feel well designed for students","no, i would not recommend it in its current form because the role leaned too hard on admin work and observation."
2021-2022,fort belknap social services,Fort Belknap Social Services,"honestly, my afi was supportive in some moments, though check-ins were often delayed. check-ins happened regularly and the feedback was direct and useful.","honestly, the least helpful part was that i wanted more direct practice instead of mostly observation. it made the practicum feel more reactive than educational.","the most helpful part was that i had real exposure to mobile outreach, risk assessment, and hotline support.",the field liaison ended up being more helpful than the site when problems came up,"no, i would not recommend it in its current form because i needed more direct practice and less busy work."
2021-2022,germane and wise mental health consulting,Germane And Wise Mental Health Consulting,"my afi cared about student learning, but the pace of the site made supervision uneven",mostly shadowing with limited direct practice. inconsistent supervision. scheduling could be difficult at times,i did not get enough direct practice experience. i mostly shadowed or did admin tasks. i wanted more guidance to understand the bigger systems work,i left feeling less prepared than i hoped. i would have liked more grounding in how policy work connected to student competencies,i would not recommend it unless the supervision and structure improve
2021-2022,crisis connections,Crisis Connections,"my afi cared about students, but meetings were more conversational than instructional",one frustration was that i was often shadowing when i needed more chances to try skills myself,"the most helpful part was that i could learn shift handoff, resource linkage, and mobile outreach and then debrief after.","i learned some things, but the practicum did not feel well designed for students",i would not recommend this placement because the practicum expected too much self-direction without enough support
2021-2022,3 rivers mental health center,3 Rivers Mental Health Center,"my supervisor gave decent feedback, but supervision was inconsistent. the structure around supervision was not strong. that made it harder to learn steadily.",one frustration was that i had too much admin work and not enough hands-on practice. that slowed down my learning.,"the most helpful part was that i got to work on resource referrals, chart review, and hospital rounds and connect class content to practice.",i do not think students should have to figure out this much out on their own,i would not recommend this placement because feedback and expectations were not clear enough.
2021-2022,rimrock foundation,Rimrock Foundation,supervision was inconsistent and at times hard to schedule,inconsistent supervision. scheduling could be difficult at times,i needed more support and clearer expectations. i did not get enough feedback to know if i was improving. i wanted more defined tasks and clearer learning goals,more support and clearer expectations would improve the experience,i would not recommend it unless the supervision and structure improve
2021-2022,youth crisis center inc,Youth Crisis Center Inc.,"my supervisor gave frequent direction, though it sometimes limited independent learning. the structure around supervision was not strong. i often needed more direction than i got. i got frequent feedback, but not much room to develop my own style.",one frustration was that i was often shadowing when i needed more chances to try skills myself.,"i appreciated that i had real exposure to aps coordination, documentation, and psychosocial assessments. it made the learning agreement feel less abstract.","i learned some things, but the practicum did not feel well designed for students",i would not recommend this placement because the placement lacked structure in ways that affected learning.
2022-2023,montana state hospital,Montana State Hospital,"there were good intentions, but support depended on how busy the week was and that affected my learning",there was too much uncertainty about what i was supposed to be doing,i still learned some basics about research and planning,the placement needs stronger onboarding and more consistent supervision for students,i would not recommend this placement because the support and learning opportunities were too inconsistent
2022-2023,curry health center,Curry Health Center,supervision was a concern. support depended on how busy the week was and i often needed more guidance than i received,unclear role expectations,i still learned some basics about macro practice,i do not think the current structure supports student learning very well,i would recommend it depending on what a student is looking for since the supervision was good but the role was uneven
2022-2023,clark fork valley hospital & family medicine network,Clark Fork Valley Hospital & Family Medicine Network,i needed more support and more intentional supervision than i received,the onboarding process felt weak and i was left to figure out a lot on my own,"having chances to sit in on sessions and team meetings helped everything click, which was one of the few parts that felt clear",overall i still learned a lot from the experience,"i would recommend it for someone who is comfortable with flexibility, but expectations should be discussed early"
2022-2023,missoula interfaith collaborative,Missoula Interfaith Collaborative,supervision was inconsistent and at times hard to schedule,not enough hands-on work,i did not get enough direct practice experience,more support and clearer expectations would improve the experience,i would not recommend it because the learning opportunities were too limited
2023-2024,trio student support services,Trio Student Support Services,"my afi cared about student learning, but the pace of the site made supervision uneven",difficulty getting feedback when i needed it. there were slow periods with fewer tasks,i did not get enough direct practice experience. the learning agreement was not used much in practice. i wanted more defined tasks and clearer learning goals,the placement needs better structure for students,i would not recommend it unless the supervision and structure improve
2023-2024,pine rest christian mental health services,Pine Rest Christian Mental Health Services,"supervision was okay overall, but some weeks felt rushed or unclear",i wanted more clarity around my role and learning goals,"i learned a lot about documentation, assessment, and crisis response, even though i wanted more guidance overall",,i would not recommend it unless major improvements were made around training and communication
2023-2024,curry health center,Curry Health Center,i needed clearer feedback and more regular meetings,limited opportunities to apply skills directly. inconsistent supervision,the placement did not provide enough structure. i mostly shadowed or did admin tasks. i wanted more defined tasks and clearer learning goals,more support and clearer expectations would improve the experience,i would not recommend it unless the supervision and structure improve
2023-2024,behavioral health resources,Behavioral Health Resources,"my supervisor met often, but it felt more controlling than developmental. the structure around supervision was not strong. the practicum would have been stronger with steadier supervision.",the least helpful part was that i needed more client contact and fewer office tasks. that slowed down my learning.,"i appreciated that i was included in documentation, caregiver support, and support groups instead of only observing.",there needs to be more structure for students before i would call this a strong placement,i would not recommend this placement because the practicum expected too much self-direction without enough support.
2023-2024,bozeman school district 7,Bozeman School District 7,my supervisor was hard to reach and supervision felt minimal. supervision got pushed back too often and expectations were not very clear.,what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,"what helped me most was that the clients and day-to-day tasks around interagency meetings, data tracking, and staff trainings taught me more than the structure did",the field liaison ended up being more helpful than the site when problems came up. clearer student expectations would help.,"no, i would not recommend it in its current form because there was not enough support or structure from supervision"
2023-2024,boys and girls club,Boys And Girls Club,"honestly, my field instructor did try to help, but expectations changed and meetings were not steady. the structure around supervision was not strong.",what was hardest for me was that i was often shadowing when i needed more chances to try skills myself.,"for me, the biggest help was that i had real exposure to group facilitation and case management.",there was too much admin work and not enough direct practice for a practicum.,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well."
2023-2024,montana 10,Montana 10,"my afi did try to help, but expectations changed and meetings were not steady. expectations were not very clear.","honestly, one frustration was that i needed more client contact and fewer office tasks. it made the practicum feel more reactive than educational.","honestly, what helped me most was that i had real exposure to case management and housing search support.",i do not think students should have to figure out this much out on their own,"honestly, no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support."
2024-2025,big sky palliative & hospice,Big Sky Palliative & Hospice,,the first few weeks felt unstructured,there were good learning opportunities but the experience was uneven. some weeks were very strong and other weeks felt disorganized,the experience improved over time,"i could recommend it, but it depends on who is supervising and what role is available"
2024-2025,crime victim advocate program,Crime Victim Advocate Program,"my supervisor gave decent feedback, but supervision was inconsistent. i did not get enough guidance to feel grounded. it affected my confidence more than it should have.",least helpful for me was that i had too much admin work and not enough hands-on practice.,"for me, the biggest help was that i could learn community outreach, benefits support, and documentation and then debrief after.",there needs to be more structure for students before i would call this a strong placement,"honestly, i cannot recommend this site right now because feedback and expectations were not clear enough."
2024-2025,blackfeet community college,Blackfeet Community College,my afi did not provide enough feedback for me to know how i was doing. supervision got pushed back too often and feedback was limited and often too vague.,what was hardest for me was that i needed more client contact and fewer office tasks.,"the most helpful part was that even with the issues at the site, i still learned from iep/504 meetings, resource coordination, and family outreach",this site could improve a lot by having a clearer student role and better onboarding,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation"
2024-2025,aspen counseling services,Aspen Counseling Services,"my field instructor was supportive in some moments, though check-ins were often delayed. the structure around supervision was not strong.",one frustration was that a lot of my time went to paperwork instead of actual practice.,"the most helpful part was that even with the issues at the site, i still learned from resource coordination and crisis response at school.",there was too much admin work and not enough direct practice for a practicum.,i cannot recommend this site right now because there was not enough support or structure from supervision.
2024-2025,vocational rehab,Vocational Rehab,my supervisor gave limited feedback and the dynamic felt stiff. the structure around supervision was not strong. i often needed more direction than i got.,what was hardest for me was that i wanted more direct practice instead of mostly observation.,"what helped me most was that the day-to-day work around risk assessments, crisis calls, and group facilitation helped build my confidence.","i learned some things, but the practicum did not feel well designed for students. the team was kind even when the structure was weak.",i cannot recommend this site right now because training was thin and the student role felt underplanned.
2024-2025,winds of change mental health center,Winds Of Change Mental Health Center,"my supervisor was supportive in some moments, though check-ins were often delayed. i did not get enough guidance to feel grounded.",least helpful for me was that i had too much admin work and not enough hands-on practice.,"i appreciated that i was included in family visits, cps coordination, and parent coaching instead of only observing. i could actually see how classroom material shows up in practicum.",i left feeling more cautious than prepared,i cannot recommend this site right now because the role leaned too hard on admin work and observation.
2025-2026,community medical center,Community Medical Center,"honestly, my afi gave limited feedback and the dynamic felt stiff. check-ins did not happen often enough and expectations were not very clear.",least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,the most helpful part was that i could learn peer coordination and motivational interviewing and then debrief after.,i left feeling more cautious than prepared,i cannot recommend this site right now because the role leaned too hard on admin work and observation.
2025-2026,crime victim advocate program,Crime Victim Advocate Program,my field instructor met with me too infrequently to really guide the practicum. check-ins did not happen often enough and the structure around supervision was not strong.,one frustration was that a lot of my time went to paperwork instead of actual practice. i spent too much time guessing what i should be doing.,"what helped me most was that even with the issues at the site, i still learned from case management and caregiver support.","honestly, i left feeling more cautious than prepared","no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there."
2025-2026,bridgercare,Bridgercare,my field instructor did not create much structure for student learning. it was hard to schedule supervision consistently and expectations were not very clear.,the least helpful part was that i wanted more direct practice instead of mostly observation. it made the practicum feel more reactive than educational.,"for me, the biggest help was that the day-to-day work around advocacy, community events, and program planning helped build my confidence.",regular check-ins would have changed this experience a lot.,i would not recommend this placement because there was not enough support or structure from supervision.
2025-2026,parents helping parents,Parents Helping Parents,my supervisor did not create much structure for student learning. meetings were too infrequent for the amount of support i needed and expectations were not very clear. that made it harder to learn steadily.,what was hardest for me was that i wanted more direct practice instead of mostly observation.,"honestly, the most helpful part was that the day-to-day work around resource coordination and cultural humility in practice helped build my confidence.",there was too much admin work and not enough direct practice for a practicum.,i cannot recommend this site right now because supervision was too inconsistent to support student learning well.
2025-2026,youth homes,Youth Homes,"my afi checked details closely but did not always explain the why. the structure around supervision was not strong. i got frequent feedback, but not much room to develop my own style.",least helpful for me was that i had too much admin work and not enough hands-on practice. it made the practicum feel more reactive than educational.,"for me, the biggest help was that i could learn case management, treatment team meetings, and documentation and then debrief after. i could actually see how classroom material shows up in practicum.",there was too much admin work and not enough direct practice for a practicum.,i cannot recommend this site right now because supervision was too inconsistent to support student learning well.
2025-2026,la family housing,La Family Housing,my supervisor was often unavailable when i needed clarification,one frustration was that i had too much admin work and not enough hands-on practice,"for me, the biggest help was that i got to work on case management and advocacy and connect class content to practice",i was more prepared by my own effort than by the site structure.,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.
2025-2026,open aid alliance,Open Aid Alliance,my supervisor was hard to reach and supervision felt minimal. check-ins did not happen often enough and expectations were not very clear. it affected my confidence more than it should have.,one frustration was that i wanted more direct practice instead of mostly observation. i spent too much time guessing what i should be doing.,i appreciated that i could learn crisis support and support groups and then debrief after.,"i learned some things, but the practicum did not feel well designed for students. clearer student expectations would help.",i would not recommend this placement because the role leaned too hard on admin work and observation.
2025-2026,curry health center,Curry Health Center,"my supervisor was supportive when available, but meetings were not always consistent",supervision was helpful but not always consistent week to week,"the most helpful part was observing and then doing case management with support, even though i wanted more guidance overall",,"no, the placement did not feel organized enough to support student learning well"
2025-2026,aware inc,Aware Inc.,my supervisor created a respectful space for supervision. check-ins happened regularly and supervision felt developmental instead of performative.,one frustration was that i had too much admin work and not enough hands-on practice,i appreciated that i was included in documentation and warm handoffs instead of only observing,there was too much admin work and not enough direct practice for a practicum,i cannot recommend this site right now because i needed more direct practice and less busy work
2025-2026,catholic charities,Catholic Charities,my supervisor gave limited feedback and the dynamic felt stiff. supervision got pushed back too often and expectations were not very clear.,one frustration was that i was often shadowing when i needed more chances to try skills myself. it made the practicum feel more reactive than educational.,"the most helpful part was that even with the issues at the site, i still learned from resource referrals and documentation.","i learned some things, but the practicum did not feel well designed for students",i cannot recommend this site right now because the practicum expected too much self-direction without enough support.
2025-2026,tri-valley haven,Tri-Valley Haven,"my field instructor was supportive in some moments, though check-ins were often delayed. the structure around supervision was not strong. the practicum would have been stronger with steadier supervision.",the least helpful part was that i needed more client contact and fewer office tasks. i spent too much time guessing what i should be doing.,"the most helpful part was that i could learn recovery planning, documentation, and group facilitation and then debrief after.",i left feeling more cautious than prepared,i cannot recommend this site right now because i needed more direct practice and less busy work.
2025-2026,partners in home care,Partners In Home Care,my afi was polite but hard to reach. meetings were too infrequent for the amount of support i needed and i did not get enough guidance to feel grounded. the practicum would have been stronger with steadier supervision.,one frustration was that i had too much admin work and not enough hands-on practice.,"what helped me most was that even with the issues at the site, i still learned from family outreach and crisis response at school.",this site could improve a lot by having a clearer student role and better onboarding,"no, i would not recommend it in its current form because there was not enough support or structure from supervision."
2025-2026,boys and girls club,Boys And Girls Club,my afi was often unavailable when i needed clarification. it was hard to schedule supervision consistently and the structure around supervision was not strong. the practicum would have been stronger with steadier supervision.,what was hardest for me was that i wanted more direct practice instead of mostly observation.,what helped me most was that i was included in community referrals and intakes instead of only observing. it made the learning agreement feel less abstract.,the field liaison ended up being more helpful than the site when problems came up. this site might work better for someone with more prior experience.,"no, i would not recommend it in its current form because i do not think the site is set up well for students right now."
2015-2016,youth dynamics,Youth Dynamics,i transitioned between afis as the agency had atleat 8 people in turnover in helena alone.,"doing it at youth dynamics was not conducive. i had little to no flexibility as a student, no empathy in the stressful times and was often told i should reaatch videos if i had questions.",having the guidance from people outside of youth dynamics,,"the environment is not helpful or supportive of students, or the employees over all. the case loaf was double what everyone else's was, as case managers quit they would stay in contact with kids some kids still do overnights with previous case managers. this gives no space for new case management to truly take over, impeding the students ability to practice their learning objectives. the ethical concerns were the most extreme i've had at any of my experiences."
2019-2020,child and family service department,Child And Family Service Department,"my afi was stretched thin, so support was limited",inconsistent supervision. the onboarding process could have been clearer,supervision was inconsistent and that affected my learning. i was unclear about my role for too long. i wanted more guidance to understand the bigger systems work,i left feeling less prepared than i hoped. i would have liked more grounding in how policy work connected to student competencies,i might recommend it depending on the student's learning style and need for structure
2021-2022,la family housing,La Family Housing,i needed clearer feedback and more regular meetings,the onboarding process could have been clearer,i needed more support and clearer expectations. i mostly shadowed or did admin tasks. i wanted more guidance to understand the bigger systems work,the placement needs better structure for students. i would have liked more grounding in how policy work connected to student competencies,i would not recommend it unless the supervision and structure improve
2023-2024,rimrock foundation,Rimrock Foundation,,no a lot of opportunity to work with historical trauma.,learning to work with various mental health providers.,,i felt like it was an environment that allowed me to learn
2024-2025,crisis connections,Crisis Connections,"feedback was helpful, but i needed more frequent check-ins",not enough check-ins with my afi. the first few weeks felt unstructured,"some parts of the placement were helpful and some were not. communication was usually fine, but there were stretches with little feedback. i learned the most when supervision actually happened on schedule",the experience improved over time,i would not recommend it for a student who needs consistent support
2015-2016,youth homes,Youth Homes,"my supervision frequently involved me answering questions my afi had around best practices, the values being taught to me in my courses, and the theories i was also learning about. while i was grateful she often engaged in my education it often came across as her being uninformed around various aspects of social work. along with this, she once spent an entire supervision asking me about my gender identity which not only caught me by surprise but also caused me to feel as though i couldn't say 'no' to engaging in this conversation. she essentially asked me to explain what 'non-binary' means, list the personal life experiences i have had with gender, and compared my experience to that of her gay son.","the constant change of staff, my supervisor not having a degree in a social work adjacent field or super relevant job experience (often worked on the office side of things), and the lack of variety of trainings provided for staff.",the residents that i worked with and the continued training opportunities provided.,"i would not recommend that future students complete their practicum at the shirley miller attention home while margaret is still the program director there. while she seems to genuinely care about the clients her values seem to often be in contrast to that taught to us in our social work program. she seemed to be uninformed when it came to theories, best practices, and how to provide the best care to our residents while teaching her staff how to do so as well. staff frequently commented on the lack of support and/or education provided to staff and how out of their depth they often felt. the lack of cultural awareness, diversity, and general awareness of various issues impacting our residents' lives was jarring and at times caused me to question the safety and/or quality of life we provided.","my supervisor and various coworkers consistently did not reflect the values being taught to me in my university courses nor did they seem to care about learning or developing these values. my supervisor seemed to be learning more from me and my education than i was from her, which felt a bit destabilizing."
2015-2016,partnership health center,Partnership Health Center,"my afi gave decent feedback, but supervision was inconsistent. expectations were not very clear.",least helpful for me was that a lot of my time went to paperwork instead of actual practice.,i appreciated that i could learn support groups and crisis support and then debrief after. i could actually see how classroom material shows up in practicum.,"i learned some things, but the practicum did not feel well designed for students",i cannot recommend this site right now because i do not think the site is set up well for students right now.
2015-2016,the webb schools,The Webb Schools,my supervisor helped me grow without hovering over every step. check-ins happened regularly and the feedback was direct and useful.,what was hardest for me was that i needed more client contact and fewer office tasks. that slowed down my learning.,i appreciated that i could learn treatment planning and risk assessments and then debrief after.,there was too much admin work and not enough direct practice for a practicum.,"no, i would not recommend it in its current form because the placement lacked structure in ways that affected learning."
2015-2016,ywca,Ywca,"my afi was helpful when available, but meetings got moved around a lot. i did not get enough guidance to feel grounded.","honestly, one frustration was that a lot of my time went to paperwork instead of actual practice.","i appreciated that i got to work on support groups, safety planning, and advocacy and connect class content to practice.","honestly, i do not think students should have to figure out this much out on their own. clearer student expectations would help.","i would still recommend it for the right student because the site helped me build practice skills that felt transferable, but it would still help to have clearer expectations at the start."
2016-2017,sexual trauma awareness and response,Sexual Trauma Awareness And Response,"honestly, my afi was professional, calm, and open to questions. i could count on regular supervision and i had space to think through ethics and boundaries.",one frustration was that i needed more client contact and fewer office tasks.,i appreciated that i had real exposure to warm handoffs and advocacy.,"i learned some things, but the practicum did not feel well designed for students","honestly, no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there."
2016-2017,st. patrick hospital,St. Patrick Hospital,"my afi was helpful when available, but meetings got moved around a lot. i did not get enough guidance to feel grounded.",the least helpful part was that i wanted more direct practice instead of mostly observation.,"what helped me most was that i could learn advocacy, intakes, and safety planning and then debrief after.",i left feeling more cautious than prepared. clearer student expectations would help.,i would not recommend this placement because the placement lacked structure in ways that affected learning.
2016-2017,soft landing missoula,Soft Landing Missoula,,,i learned so much about the population that slm serves and how important the work with those who have been displaced.,,"yes, there was so many varying opportunities and things to do. i was never bored"
2016-2017,affordable housing trust fund,Affordable Housing Trust Fund,i needed clearer feedback and more regular meetings,limited opportunities to apply skills directly. unclear expectations from the start,i did not get enough direct practice experience. i was unclear about my role for too long. i wanted more guidance to understand the bigger systems work,the placement needs better structure for students. i would have liked more grounding in how policy work connected to student competencies,i would not recommend it unless the supervision and structure improve
2017-2018,big sky palliative & hospice,Big Sky Palliative & Hospice,my supervisor was often unavailable when i needed clarification. it was hard to schedule supervision consistently and feedback was limited and often too vague. it affected my confidence more than it should have.,"honestly, what was hardest for me was that a lot of my time went to paperwork instead of actual practice.","i appreciated that i was included in housing search support, resource navigation, and warm handoffs instead of only observing.",i left feeling more cautious than prepared. clearer student expectations would help.,i cannot recommend this site right now because there was not enough support or structure from supervision.
2017-2018,hamilton school district 3,Hamilton School District 3,"my supervisor wanted everything done a certain way, which made it harder to build confidence. the structure around supervision was not strong. i often needed more direction than i got. i got frequent feedback, but not much room to develop my own style.","honestly, what was hardest for me was that a lot of my time went to paperwork instead of actual practice. it made the practicum feel more reactive than educational.",i appreciated that the day-to-day work around community outreach and community assessments helped build my confidence.,i left feeling more cautious than prepared,"honestly, i would not recommend this placement because there was too little hands-on practice for the amount of time there."
2017-2018,curry health center,Curry Health Center,my supervisor kept things professional but did not feel approachable. expectations were not very clear. the practicum would have been stronger with steadier supervision.,the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,"the most helpful part was that even with the issues at the site, i still learned from group facilitation and peer coordination.",i left feeling more cautious than prepared. this site might work better for someone with more prior experience.,i would not recommend this placement because the practicum expected too much self-direction without enough support.
2017-2018,billings public schools,Billings Public Schools,my afi did not seem very engaged in my learning. it was hard to schedule supervision consistently and i did not get enough guidance to feel grounded.,"honestly, the least helpful part was that i needed more client contact and fewer office tasks.","the most helpful part was that even with the issues at the site, i still learned from parent coaching and court-related prep.",i left feeling more cautious than prepared,"honestly, no, i would not recommend it in its current form because i needed more direct practice and less busy work."
2017-2018,eduro healthcare,Eduro Healthcare,"my supervisor was supportive in some moments, though check-ins were often delayed. the structure around supervision was not strong. that made it harder to learn steadily.",what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,"i appreciated that even with the issues at the site, i still learned from case planning and court-related prep.",i left feeling more cautious than prepared,i would not recommend this placement because i needed more direct practice and less busy work.
